NEWS ENGLISH,#genre#
MEDIA VISION,https://live20.bozztv.com/akamaissh101/ssh101/mvtv/playlist.m3u8

TAMIL,#genre#
PRIME MUSIC TV,https://live.primestream.in/prime/music/index.m3u8
KC MUSIC TV,https://rtmp.bmlive.net/bms/kcmusic/stream.m3u8
SR MUSIC TV,https://srnet-bmlive-net.proxy.nellaiiptv.com/srmusic/myStream/playlist.m3u8
RETRO MUSIC TV,https://sanplayout.xyz/live2/retromusichd/playlist.m3u8
JCV MUSIC TV,https://play.applelive.in/jcvtv/jcvmusix.m3u8
SANA PLUS,https://mumbai-edge.smartplaytv.in/SanaPlusHD/index.m3u8
SANA,https://vglivessai.akamaized.net/us/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/b6d9e864-ec16-410a-804d-ccf8f720bfaa/index.m3u8

BANGALA,#genre#
SGC MUSIC,https://ethersoftwaresolution.com/live/sgcnmusic/index.m3u8
BHI CHANNEL,https://server.thelegitpro.in/bhichannel/bhichannel/index.m3u8
ZBMUSIC,https://d2esfk1pb9cdob.cloudfront.net/master.m3u8

ORIYA,#genre#
RCN,http://ace.aplombtv.in:8080/hls/rcnudia/index.m3u8
RANG RANGOLI,https://live.ekamraott.com/rr/rr/video.m3u8
MUSIQ,https://live.ekamraott.com/musiq/musiq/index.m3u8
BAISCOPE,https://live.ekamraott.com/baiscope/baiscope/index.m3u8
STV ODIA,https://amigofx.com:1936/stv/stv/playlist.m3u8
Ekamran Manoranja,https://live.ekamraott.com/manoranjan/manoranjan/index.m3u8
Ekaman,https://live.ekamraott.com/nilachakra/nilachakra/index.m3u8

SPORTS,#genre#
https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01444-tennischannelth-tennischnlintl-lggb/playlist.m3u8
BEIN SPORTS,https://d9ssxzmclhfo4.cloudfront.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-t7en7ol3kq3sp/f881b29a-280a-4416-be20-40db0fcc0f07/3.m3u8





